Date,Amundi Core MSCI World Swap UCITS ETF Dist (LU2572257124)
08/2019,361891.8975088861
09/2019,374522.48373485374
10/2019,374866.2407579574
11/2019,391278.5521840444
12/2019,393895.2721337635
01/2020,397879.133511796
02/2020,366670.69376906636
03/2020,318693.2006457964
04/2020,356055.75306480523
05/2020,364482.1625925652
06/2020,371990.93099871604
07/2020,368341.14164595905
08/2020,389862.4369559169
09/2020,383806.3505920318
10/2020,372287.14224865515
11/2020,409942.4694516515
12/2020,417120.630070765
01/2021,417499.4176566611
02/2021,428657.87525323755
03/2021,457807.94659684156
04/2021,464881.17844112485
05/2021,466901.0869458814
06/2021,486422.3255942462
07/2021,494763.01201769005
08/2021,509436.78315972956
09/2021,498953.08597945096
10/2021,524142.8328565615
11/2021,525292.7671192104
12/2021,549445.6699206381
01/2022,528212.1485188855
02/2022,512788.1124344994
03/2022,531426.4600273063
04/2022,513126.2972332684
05/2022,505136.86754515604
06/2022,475777.34663633845
07/2022,522990.6949818653
08/2022,510960.69780742994
09/2022,475357.8891625324
10/2022,500884.49468498986
11/2022,511774.75954270706
12/2022,476631.93595440633
01/2023,502409.5239194184
02/2023,500130.06400862493
03/2023,503363.61743423855
04/2023,507159.26130145276
05/2023,516017.4247336505
06/2023,537922.9053778736
07/2023,547984.6099303557
08/2023,542432.9761130081
09/2023,532366.9935111022
10/2023,515614.23815385473
11/2023,547771.4644326409
12/2023,568383.9075502931
01/2024,586415.622804858
02/2024,611801.6297268145
03/2024,632235.9509502309
04/2024,613928.4711483497
05/2024,633320.0665585785
06/2024,654974.8592883572
07/2024,658836.6911920644
08/2024,660342.5819807552
09/2024,665779.4082783385
10/2024,671291.4417231609
11/2024,723254.3950517382
12/2024,716015.3258953678
01/2025,740877.8942520347
02/2025,734150.456696079
03/2025,675139.7000698603
04/2025,647608.0315254048
05/2025,687890.010187704
06/2025,694132.5844656442
07/2025,719782.6055397497
08/2025,725007.8611040394
09/2025,742903.0281752648
10/2025,769920.6356352129
11/2025,771166.0921075176
12/2025,765097.4595913576
01/2026,771000.9605575633
02/2026,784020.1418165917
03/2026,753551.5166787889
04/2026,811308.7713426031
05/2026,852330.3849545898
06/2026,864639.5855462669
07/2026,862046.6106950088
